id,code,description,total_emp,salary
191032,19-1032,Foresters,10510,54030
191041,19-1041,Epidemiologists,3960,63600
191042,19-1042,"Medical scientists, except epidemiologists",87440,74160
191099,19-1099,"Life scientists, all other",12470,66930
192011,19-2011,Astronomers,1520,98200
192012,19-2012,Physicists,13980,99900
192021,19-2021,Atmospheric and space scientists,8750,78960
192031,19-2031,Chemists,79860,68520
192032,19-2032,Materials scientists,9740,77930
192041,19-2041,"Environmental scientists and specialists, including health",80070,63870
192042,19-2042,"Geoscientists, except hydrologists and geographers",31390,84100
192043,19-2043,Hydrologists,7670,70250
192099,19-2099,"Physical scientists, all other",23300,88210
193011,19-3011,Economists,12740,86700
193021,19-3021,Market research analysts,220740,66980
193022,19-3022,Survey researchers,22140,42880
193031,19-3031,"Clinical, counseling, and school psychologists",95120,68150
193032,19-3032,Industrial-organizational psychologists,1240,86610
193039,19-3039,"Psychologists, all other",9470,83610
193041,19-3041,Sociologists,3680,67330
193051,19-3051,Urban and regional planners,35040,60480
193091,19-3091,Anthropologists and archeologists,5250,55490
193092,19-3092,Geographers,1010,66440
193093,19-3093,Historians,3600,54630
193094,19-3094,Political scientists,3940,90050
193099,19-3099,"Social scientists and related workers, all other",30410,69720
194011,19-4011,Agricultural and food science technicians,19280,35520
194021,19-4021,Biological technicians,69110,40240
194031,19-4031,Chemical technicians,64450,42420
194041,19-4041,Geological and petroleum technicians,13060,55330
194051,19-4051,Nuclear technicians,5920,65850
194061,19-4061,Social science research assistants,16070,38120
194091,19-4091,"Environmental science and protection technicians, including health",33950,42190
194092,19-4092,Forensic science technicians,12030,50310
194093,19-4093,Forest and conservation technicians,26900,35770
194099,19-4099,"Life, physical, and social science technicians, all other",59910,41230
210000,21-0000,Community and social services occupations,1793040,40540
211011,21-1011,Substance abuse and behavioral disorder counselors,76830,37830
211012,21-1012,"Educational, vocational, and school counselors",232260,51690
211013,21-1013,Marriage and family therapists,23340,45310
211014,21-1014,Mental health counselors,95970,39450
211015,21-1015,Rehabilitation counselors,123890,33350
211019,21-1019,"Counselors, all other",28900,40710
211021,21-1021,"Child, family, and school social workers",265090,41920
211022,21-1022,Medical and public health social workers,120060,46320
211023,21-1023,Mental health and substance abuse social workers,118690,39380
211029,21-1029,"Social workers, all other",64990,47170
211091,21-1091,Health educators,61290,47340
211092,21-1092,Probation officers and correctional treatment specialists,94120,47980
211093,21-1093,Social and human service assistants,316380,28450
211099,21-1099,"Community and social service specialists, all other",109970,38590
212011,21-2011,Clergy,40960,43720
212021,21-2021,"Directors, religious activities and education",14780,39470
212099,21-2099,"Religious workers, all other",5520,31660
230000,23-0000,Legal occupations,998590,88450
231011,23-1011,Lawyers,555770,118280
231021,23-1021,"Administrative law judges, adjudicators, and hearing officers",14100,78650
231022,23-1022,"Arbitrators, mediators, and conciliators",8810,56380
231023,23-1023,"Judges, magistrate judges, and magistrates",25500,99270
232011,23-2011,Paralegals and legal assistants,241270,47600
232091,23-2091,Court reporters,20120,48380
232092,23-2092,Law clerks,31160,40880
232093,23-2093,"Title examiners, abstractors, and searchers",62200,41140
232099,23-2099,"Legal support workers, all other",39670,54560
250000,25-0000,"Education, training, and library occupations",8316360,46610
251011,25-1011,"Business teachers, postsecondary",67700,73240
251021,25-1021,"Computer science teachers, postsecondary",33840,69660
251022,25-1022,"Mathematical science teachers, postsecondary",44560,65450
251031,25-1031,"Architecture teachers, postsecondary",6070,71480
251032,25-1032,"Engineering teachers, postsecondary",32360,85260
251041,25-1041,"Agricultural sciences teachers, postsecondary",10700,80280
251042,25-1042,"Biological science teachers, postsecondary",52560,84130
251043,25-1043,"Forestry and conservation science teachers, postsecondary",2640,67530
251051,25-1051,"Atmospheric, earth, marine, and space sciences teachers, postsecondary",9030,78890
251052,25-1052,"Chemistry teachers, postsecondary",19800,72900
251053,25-1053,"Environmental science teachers, postsecondary",4470,75220
251054,25-1054,"Physics teachers, postsecondary",12530,77440
251061,25-1061,"Anthropology and archeology teachers, postsecondary",5290,69420
251062,25-1062,"Area, ethnic, and cultural studies teachers, postsecondary",7280,67770
251063,25-1063,"Economics teachers, postsecondary",12840,83030
251064,25-1064,"Geography teachers, postsecondary",4050,65810
251065,25-1065,"Political science teachers, postsecondary",14160,70350
251066,25-1066,"Psychology teachers, postsecondary",30590,66460
251067,25-1067,"Sociology teachers, postsecondary",16130,65230
251069,25-1069,"Social sciences teachers, postsecondary, all other",5460,70000
251071,25-1071,"Health specialties teachers, postsecondary",114070,95440
251072,25-1072,"Nursing instructors and teachers, postsecondary",42660,60850
251081,25-1081,"Education teachers, postsecondary",54420,59250
251082,25-1082,"Library science teachers, postsecondary",4080,59690
251111,25-1111,"Criminal justice and law enforcement teachers, postsecondary",11110,57510
251112,25-1112,"Law teachers, postsecondary",12610,95510
251113,25-1113,"Social work teachers, postsecondary",7510,61140
251121,25-1121,"Art, drama, and music teachers, postsecondary",73890,61050
251122,25-1122,"Communications teachers, postsecondary",23690,58610
251123,25-1123,"English language and literature teachers, postsecondary",60910,60580
251124,25-1124,"Foreign language and literature teachers, postsecondary",25100,62540
251125,25-1125,"History teachers, postsecondary",20760,65410
251126,25-1126,"Philosophy and religion teachers, postsecondary",18140,61700
251191,25-1191,Graduate teaching assistants,119790,30080
251192,25-1192,"Home economics teachers, postsecondary",4770,63790
251193,25-1193,"Recreation and fitness studies teachers, postsecondary",17500,57540
251194,25-1194,"Vocational education teachers, postsecondary",112300,49150
251199,25-1199,"Postsecondary teachers, all other",265500,71950
252011,25-2011,"Preschool teachers, except special education",380930,25800
252012,25-2012,"Kindergarten teachers, except special education",170880,47750
252021,25-2021,"Elementary school teachers, except special education",1538030,50040
252022,25-2022,"Middle school teachers, except special and vocational education",652560,50630
252023,25-2023,"Vocational education teachers, middle school",15260,48460
252031,25-2031,"Secondary school teachers, except special and vocational education",1058870,52450
252032,25-2032,"Vocational education teachers, secondary school",97550,52250
252041,25-2041,"Special education teachers, preschool, kindergarten, and elementary school",219930,51230
252042,25-2042,"Special education teachers, middle school",100160,51610
252043,25-2043,"Special education teachers, secondary school",141330,53020
253011,25-3011,"Adult literacy, remedial education, and GED teachers and instructors",72240,47830
253021,25-3021,Self-enrichment education teachers,156960,39600
253099,25-3099,"Teachers and instructors, all other",555460,37840
254011,25-4011,Archivists,5420,46420
254012,25-4012,Curators,10120,50040
254013,25-4013,Museum technicians and conservators,9950,39180
254021,25-4021,Librarians,148800,52850
254031,25-4031,Library technicians,114150,29040
259011,25-9011,Audio-visual collections specialists,6530,43770
259021,25-9021,Farm and home management advisors,12050,44300
259031,25-9031,Instructional coordinators,117940,58070
259041,25-9041,Teacher assistants,1251610,22820
259099,25-9099,"Education, training, and library workers, all other",98790,36950
270000,27-0000,"Arts, design, entertainment, sports, and media occupations",1761270,48410
271011,27-1011,Art directors,32290,83230
271012,27-1012,Craft artists,5390,30110
271013,27-1013,"Fine artists, including painters, sculptors, and illustrators",10500,48110
271014,27-1014,Multi-media artists and animators,29440,61010
271019,27-1019,"Artists and related workers, all other",7910,50520
271021,27-1021,Commercial and industrial designers,34800,60540
